block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,median_channel_snr,peak_robust_z,detected,shot_number,shot_name
28,1400,1448,3200,3248,13,5.565871238708496,43.24903649093371,True,4,SAFOD260011
29,1452,1496,3252,3296,12,7.304657936096191,73.61497256013278,True,4,SAFOD260011
30,1500,1548,3300,3348,13,6.217171669006348,74.98529068287289,True,4,SAFOD260011
31,1552,1596,3352,3396,12,6.798847198486328,70.5159889736532,True,4,SAFOD260011
32,1600,1648,3400,3448,13,7.517282485961914,91.16056267928528,True,4,SAFOD260011
33,1652,1696,3452,3496,12,6.518800258636475,81.35360994433162,True,4,SAFOD260011
34,1700,1748,3500,3548,13,7.263197422027588,237.7311659498718,True,4,SAFOD260011
35,1752,1796,3552,3596,12,8.76745319366455,70.15199750066681,True,4,SAFOD260011
36,1800,1848,3600,3648,13,6.7520294189453125,54.394978387678776,True,4,SAFOD260011
37,1852,1896,3652,3696,12,5.342419624328613,34.792752837981254,True,4,SAFOD260011
38,1900,1948,3700,3748,13,4.566061496734619,213.01435261024218,True,4,SAFOD260011
39,1952,1996,3752,3796,12,6.584930896759033,65.67371451295699,True,4,SAFOD260011
40,2000,2048,3800,3848,13,5.357931137084961,43.13827718504405,True,4,SAFOD260011
41,2052,2096,3852,3896,12,7.298444747924805,83.8043785561555,True,4,SAFOD260011
42,2100,2148,3900,3948,13,5.779358863830566,49.29548927456688,True,4,SAFOD260011
43,2152,2196,3952,3996,12,5.607085704803467,66.77691653647355,True,4,SAFOD260011
44,2200,2248,4000,4048,13,5.094624042510986,60.10958731213331,True,4,SAFOD260011
45,2252,2296,4052,4096,12,4.574997901916504,34.18653008243816,True,4,SAFOD260011
46,2300,2348,4100,4148,13,4.1042022705078125,79.16204448461313,True,4,SAFOD260011
47,2352,2396,4152,4196,12,5.628247261047363,145.21063822188958,True,4,SAFOD260011
48,2400,2448,4200,4248,13,3.5992889404296875,54.84828352978541,True,4,SAFOD260011
49,2452,2496,4252,4296,12,3.908931255340576,47.17715538166466,True,4,SAFOD260011
50,2500,2548,4300,4348,13,5.1345720291137695,84.34218094726413,True,4,SAFOD260011
51,2552,2596,4352,4396,12,3.2837438583374023,145.06266597831439,True,4,SAFOD260011
52,2600,2648,4400,4448,13,4.5718865394592285,62.17669755816798,True,4,SAFOD260011
53,2652,2696,4452,4496,12,3.838681936264038,39.58462632581912,True,4,SAFOD260011
54,2700,2748,4500,4548,13,2.5445609092712402,35.778822153707544,True,4,SAFOD260011
55,2752,2796,4552,4596,12,3.0203440189361572,81.66276075512589,True,4,SAFOD260011
56,2800,2848,4600,4648,13,2.372234344482422,25.200039574753692,True,4,SAFOD260011
57,2852,2896,4652,4696,12,3.91554594039917,34.526403205453796,True,4,SAFOD260011
58,2900,2948,4700,4748,13,50.32889938354492,847.5495054803263,True,4,SAFOD260011
59,2952,2996,4752,4796,12,24.949684143066406,147.9085374880673,True,4,SAFOD260011
60,3000,3048,4800,4848,13,25.008359909057617,247.69979283051927,True,4,SAFOD260011
61,3052,3096,4852,4896,12,4.980082035064697,214.74615664910397,True,4,SAFOD260011
62,3100,3148,4900,4948,13,17.291715621948242,162.86039320719925,True,4,SAFOD260011
63,3152,3196,4952,4996,12,2.135974407196045,12.50056622648001,True,4,SAFOD260011
