block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,median_channel_snr,peak_robust_z,detected,event_id,role
22,1100,1148,2900,2948,13,3.494102716445923,157.11636268623826,True,75343317,hard_spatial_control
23,1152,1196,2952,2996,12,3.705806016921997,98.80596448113934,True,75343317,hard_spatial_control
24,1200,1248,3000,3048,13,7.457530975341797,218.68758319879626,True,75343317,hard_spatial_control
25,1252,1296,3052,3096,12,4.783315658569336,100.0432454164463,True,75343317,hard_spatial_control
26,1300,1348,3100,3148,13,4.063628673553467,139.01755206026888,True,75343317,hard_spatial_control
27,1352,1396,3152,3196,12,5.2838921546936035,169.06110758403403,True,75343317,hard_spatial_control
28,1400,1448,3200,3248,13,7.708207130432129,292.84208674903635,True,75343317,hard_spatial_control
29,1452,1496,3252,3296,12,4.541961193084717,246.5294578501125,True,75343317,hard_spatial_control
30,1500,1548,3300,3348,13,4.523087024688721,141.1429438596376,True,75343317,hard_spatial_control
31,1552,1596,3352,3396,12,3.0581178665161133,116.04554683983673,True,75343317,hard_spatial_control
32,1600,1648,3400,3448,13,4.564924716949463,157.03519783204086,True,75343317,hard_spatial_control
33,1652,1696,3452,3496,12,6.059201240539551,377.41974856323907,True,75343317,hard_spatial_control
34,1700,1748,3500,3548,13,7.153614044189453,275.4638900897322,True,75343317,hard_spatial_control
35,1752,1796,3552,3596,12,4.902458190917969,255.21512297426685,True,75343317,hard_spatial_control
36,1800,1848,3600,3648,13,5.729803085327148,177.39424531044892,True,75343317,hard_spatial_control
37,1852,1896,3652,3696,12,4.021885871887207,104.86308097818274,True,75343317,hard_spatial_control
38,1900,1948,3700,3748,13,7.140607833862305,249.19881274508086,True,75343317,hard_spatial_control
39,1952,1996,3752,3796,12,7.211091041564941,272.33633883671007,True,75343317,hard_spatial_control
40,2000,2048,3800,3848,13,4.338571071624756,149.37798959282955,True,75343317,hard_spatial_control
41,2052,2096,3852,3896,12,5.005213737487793,188.87172631486578,True,75343317,hard_spatial_control
42,2100,2148,3900,3948,13,4.894332408905029,150.40327666030296,True,75343317,hard_spatial_control
43,2152,2196,3952,3996,12,3.820247173309326,109.06966503227439,True,75343317,hard_spatial_control
44,2200,2248,4000,4048,13,3.2680106163024902,65.05324168695184,True,75343317,hard_spatial_control
